id,name,description,price,stock,category,country_of_origin,brand,dimensions,weight_kg
HG-2001,Memory Foam Pillow Queen,Cooling gel-infused contour design,49.99,340,Bedding,China,SleepWell,20x26x5 inches,1.8
HG-2002,Stainless Steel Cookware Set 10pc,Tri-ply construction with tempered glass lids,179.99,85,Kitchen,India,ChefPro,Various,8.5
HG-2003,Cotton Bath Towel Set 6pc,Turkish cotton 600GSM ultra absorbent,44.99,420,Bath,Turkey,LuxeBath,27x54 inches,2.4
HG-2004,Blackout Curtain Panels 2pk,Thermal insulated noise reducing,34.99,280,Window,China,HomeDecor,52x84 inches,1.6
HG-2005,Ceramic Dinnerware Set 16pc,Chip-resistant microwave safe service for 4,89.99,145,Kitchen,Portugal,TableArt,Various,7.2
HG-2006,LED Floor Lamp Dimmable,3 color temperatures with remote control,79.99,165,Lighting,China,BrightHome,65 inches tall,4.5
HG-2007,Egyptian Cotton Sheet Set Queen,400 thread count sateen weave,74.99,220,Bedding,Egypt,SleepWell,Queen size,1.8
HG-2008,Cast Iron Dutch Oven 6qt,Enameled interior pre-seasoned,69.99,125,Kitchen,France,ChefPro,12x5 inches,6.8
HG-2009,Bamboo Cutting Board Set 3pc,Organic bamboo with juice grooves,29.99,380,Kitchen,China,EcoHome,Various,1.4
HG-2010,Plush Area Rug 5x7,Shag pile stain-resistant easy clean,89.99,95,Flooring,Turkey,HomeDecor,5x7 feet,8.2
HG-2011,Vacuum Storage Bags 12pk,Space saver compression bags various sizes,24.99,560,Organization,China,SpaceSaver,Various,0.8
HG-2012,Scented Candle Collection 4pk,Soy wax 40hr burn time each,32.99,290,Decor,USA,AromaHouse,3x4 inches each,1.2
HG-2013,Knife Block Set 15pc,German steel with self-sharpening block,129.99,75,Kitchen,Germany,ChefPro,Various,4.8
HG-2014,Down Alternative Comforter King,Hypoallergenic all-season warmth,99.99,180,Bedding,China,SleepWell,106x90 inches,3.6
HG-2015,Decorative Throw Pillow Set 4pc,Velvet covers with inserts included,39.99,245,Decor,India,HomeDecor,18x18 inches,1.8

