id,name,description,price,stock,category,country_of_origin,brand,unit_count
OFF-3001,Premium Copy Paper 5-Ream,8.5x11 92 bright 20lb white,42.99,680,Paper,USA,OfficePro,2500 sheets
OFF-3002,Gel Pens Assorted Colors 24pk,Fine point 0.5mm smooth writing,14.99,920,Writing,Japan,WriteWell,24 pens
OFF-3003,3-Ring Binder 2-inch 6pk,Heavy duty D-ring clear view cover,29.99,445,Organization,China,FileMaster,6 binders
OFF-3004,Sticky Notes Variety Pack,3x3 and 1.5x2 assorted colors,12.99,1250,Supplies,USA,StickIt,24 pads
OFF-3005,Ergonomic Office Chair,Mesh back lumbar support adjustable,249.99,65,Furniture,China,ComfortSeat,1 chair
OFF-3006,Desk Organizer Set 5pc,Mesh metal pen cup file sorter tray,24.99,380,Organization,China,DeskTidy,5 pieces
OFF-3007,Highlighters Chisel Tip 12pk,Assorted fluorescent non-toxic,8.99,1580,Writing,China,BrightMark,12 highlighters
OFF-3008,Manila Folders Letter 100pk,1/3 cut tabs 11pt stock,16.99,720,Filing,USA,FileMaster,100 folders
OFF-3009,Mechanical Pencils 0.7mm 12pk,With lead and eraser refills,11.99,890,Writing,Japan,WriteWell,12 pencils
OFF-3010,Whiteboard 48x36 Magnetic,Aluminum frame with marker tray,89.99,95,Presentation,China,BoardPro,1 whiteboard
OFF-3011,Paper Clips Jumbo 500pk,Vinyl coated assorted colors,7.99,1340,Supplies,China,ClipIt,500 clips
OFF-3012,Standing Desk Converter,Height adjustable 32 inch wide,179.99,55,Furniture,China,DeskRise,1 unit
OFF-3013,Label Maker with Tape,QWERTY keyboard multiple fonts,39.99,285,Equipment,Japan,LabelPro,1 device
OFF-3014,Document Shredder Cross-Cut,10-sheet capacity P-4 security,129.99,75,Equipment,China,SecureShred,1 shredder
OFF-3015,Wall Calendar 2025 Large,12-month planning 24x36 laminated,18.99,420,Planning,USA,DateMaster,1 calendar

