id,name,description,price,stock,category,country_of_origin,brand,age_range,pieces
TOY-7001,Building Blocks Set 1000pc,Compatible with major brands multicolor,34.99,285,Construction,China,BrickWorld,4+,1000
TOY-7002,Remote Control Car 4WD,Off-road monster truck rechargeable,49.99,165,Vehicles,China,RacePro,8+,1
TOY-7003,Wooden Train Set 80pc,Expandable track system with accessories,59.99,125,Wooden Toys,China,TrackMaster,3+,80
TOY-7004,Science Kit Chemistry,Safe experiments for young scientists,29.99,240,Educational,USA,ScienceWiz,8-14,65
TOY-7005,Plush Teddy Bear 24-inch,Super soft huggable classic brown,24.99,420,Plush,China,CuddlePals,All Ages,1
TOY-7006,Board Game Strategy Family,2-6 players 45-minute gameplay,39.99,185,Games,Germany,GameNight,10+,200+
TOY-7007,Art Supplies Set 150pc,Crayons markers colored pencils paints,27.99,380,Arts & Crafts,China,ArtKids,5+,150
TOY-7008,Drone Mini Camera HD,Easy fly mode headless return home,79.99,95,Tech Toys,China,SkyView,14+,1
TOY-7009,Dollhouse Furniture Set,Compatible 1:12 scale 30 pieces,32.99,210,Dolls,China,DreamHome,3+,30
TOY-7010,Puzzle 1000 Piece Landscape,Premium quality interlocking pieces,16.99,540,Puzzles,USA,PuzzleMaster,12+,1000
TOY-7011,Action Figures Set 6pk,Poseable 6-inch collector series,29.99,320,Action Figures,China,HeroWorld,4+,6
TOY-7012,Magnetic Tiles Building 60pc,STEM learning translucent colors,44.99,195,Construction,China,MagBuild,3+,60
TOY-7013,Play Kitchen Set Wooden,Realistic accessories and sounds,129.99,55,Pretend Play,China,PlayHouse,3+,25+
TOY-7014,Card Game Family Pack 4pk,Classic games for family night,19.99,480,Games,USA,CardFun,7+,4 decks
TOY-7015,Outdoor Bubbles Giant Kit,Wands solution for huge bubbles,14.99,620,Outdoor,USA,BubbleFun,3+,5

